epoch,train_loss,val_loss,params
1,1.48101664015225,1.2508306077548437,56400
2,1.1876817376840683,1.1310521875108992,56400
3,1.0972965810980115,1.0821160688286735,56400
4,1.0439941558099928,0.9933252810012727,56400
5,0.9821010207846051,0.9933378377131054,56400
6,0.9351343874420438,0.9138152883166358,56400
7,0.8886591110910688,0.8908835096018655,56400
8,0.8582317521174748,0.8422633075997943,56400
9,0.8379279874619984,0.8333076756624949,56400
10,0.8312231397344952,0.8995238641897837,56400
