epoch,train_loss,val_loss,params
1,1.495683768416653,1.2636312106076408,27360
2,1.2374328753527473,1.2144687576454227,27360
3,1.1771583004158084,1.070952383410029,27360
4,0.6455496514043888,0.3798395856087949,27360
5,0.2701941788447003,0.13550736824003587,27360
6,0.10953159130671446,0.05998106019086197,27360
7,0.04087636659563589,0.027900341366018568,27360
8,0.02198840473003748,0.017236379687400424,27360
9,0.01408111814628629,0.011629571402523698,27360
10,0.009681378369133513,0.011865950745193898,27360
