epoch,train_loss,val_loss,params
1,1.4199219194325534,1.2043336155739697,214976
2,1.1846997683698481,1.1350356001745572,214976
3,0.31216688407161697,0.026616576699201356,214976
4,0.024134138169359755,0.016317627297460356,214976
5,0.01227724008389156,0.00885542043463581,214976
6,0.07450684320171025,0.8913462128151547,214976
7,0.06102894358389842,0.005312539697942239,214976
8,0.00397963935683947,0.0028803949217862364,214976
9,0.003007676398556214,0.005323876080431298,214976
10,0.002625318713465028,0.004278316880862059,214976
