epoch,train_loss,val_loss,params
1,1.66612770293383,1.3529090404510498,27360
2,1.2971552806412614,1.2499696493148804,27360
3,1.2307731621217408,1.2478034873803456,27360
4,1.1830985926141675,1.1363242785135905,27360
5,1.0980581009147952,1.0422726372877757,27360
6,0.9444691730825693,0.7750815202792486,27360
7,0.5635896719142095,0.4174987609187762,27360
8,0.3470374413784718,0.30041233748197554,27360
9,0.25787383817986353,0.22212970207134883,27360
10,0.16951088659815342,0.12877317431072394,27360
