epoch,train_loss,val_loss,params
1,1.3138250332269303,1.1793989181518554,84240
2,1.088920800577607,0.8225907858212789,84240
3,0.47598762376995246,0.029704798062642417,84240
4,0.021960711317719064,0.013323482837941911,84240
5,0.005251554360502098,0.0023578897884322537,84240
6,0.033109240540123326,0.0026594982710149554,84240
7,0.0012957739246924568,0.0005773591896932986,84240
8,0.00042091741066762744,0.0002860897537579553,84240
9,0.05888984909687293,0.001308210675811602,84240
10,0.0005704666122351296,0.00032488348117719096,84240
